Date,Product_Category,Units_Sold,Unit_Price,Marketing_Spend,Customers,Discount_Percent,Sales
2024-03-24,Sports,17,4362.49,2371.13,363,8.29,74097.54
2024-03-25,Electronics,96,2642.31,3289.17,493,9.37,237691.78
2024-03-26,Electronics,62,2997.25,2726.73,281,19.28,155896.69
2024-03-27,Electronics,24,2055.11,3711.63,326,5.88,53382.12
2024-03-28,Electronics,96,368.33,591.82,333,26.91,29758.97
2024-03-29,Furniture,76,1742.47,489.69,252,15.61,114329.1
2024-03-30,Grocery,65,4033.98,1386.1,296,13.43,232065.43
2024-03-31,Grocery,43,122.7,965.81,339,16.73,9784.15
2024-04-01,Electronics,5,1734.15,4384.56,313,4.98,15142.56
2024-04-02,Grocery,7,2051.03,1252.23,492,18.4,18041.33
2024-04-03,Grocery,81,2733.24,4884.15,263,10.89,203515.87
2024-04-04,Electronics,96,4607.29,1817.1,249,26.92,328056.66
2024-04-05,Grocery,66,1797.1,1074.17,482,5.07,118434.5
2024-04-06,Sports,67,1800.07,3990.55,128,15.21,109230.29
2024-04-07,Clothing,29,3713.76,3361.8,450,17.94,96056.99
2024-04-08,Clothing,60,2315.87,2591.34,493,1.0,143126.54
2024-04-09,Electronics,37,1200.56,2865.75,392,10.91,46540.85
2024-04-10,Furniture,42,2316.95,3652.17,393,21.98,83487.45
2024-04-11,Electronics,10,790.2,1296.58,222,24.61,10770.3
2024-04-12,Furniture,62,964.3,4982.4,118,9.39,59862.68
2024-04-13,Clothing,48,2542.0,4879.01,465,23.96,101430.34
2024-04-14,Electronics,49,2152.73,3321.56,477,29.03,82956.69
2024-04-15,Sports,36,4582.74,1157.8,498,25.71,129792.29
2024-04-16,Grocery,49,1875.73,3465.1,136,3.53,90905.69
2024-04-17,Furniture,65,2944.88,546.55,150,22.19,152517.59
2024-04-18,Grocery,51,3198.1,347.13,57,9.59,147592.05
2024-04-19,Grocery,25,164.16,1436.88,382,29.65,10037.71
2024-04-20,Electronics,84,3351.33,2420.59,249,14.56,245840.55
2024-04-21,Grocery,89,972.38,4367.71,136,3.67,89121.5
2024-04-22,Sports,79,4809.24,3690.41,92,21.76,302462.95
2024-04-23,Grocery,40,828.45,3764.99,434,9.69,38720.05
2024-04-24,Electronics,23,2131.66,2242.37,158,29.91,38726.63
2024-04-25,Sports,24,518.21,1860.49,484,29.39,15913.77
2024-04-26,Clothing,61,4984.68,1980.99,457,19.68,251666.35
2024-04-27,Grocery,22,2560.76,4940.72,201,3.89,59922.3
2024-04-28,Electronics,51,3017.39,392.52,66,20.61,122933.41
2024-04-29,Clothing,53,428.67,4361.75,182,2.79,29723.73
2024-04-30,Clothing,18,3774.81,2977.64,197,0.88,71286.57
2024-05-01,Furniture,19,1128.54,2305.35,326,24.69,22058.76
2024-05-02,Sports,35,4500.47,3681.24,281,6.29,154039.13
2024-05-03,Grocery,5,1105.18,2536.01,363,11.37,10971.66
2024-05-04,Electronics,58,1034.37,4392.43,464,29.2,52071.71
2024-05-05,Furniture,7,279.09,4523.37,415,10.11,10944.54
2024-05-06,Sports,20,2413.13,2224.26,277,8.89,48149.64
2024-05-07,Furniture,91,2867.72,1528.77,188,27.55,192647.72
2024-05-08,Sports,61,421.97,3043.28,485,3.32,32057.85
2024-05-09,Sports,79,3900.09,4579.34,448,22.79,247717.52
2024-05-10,Grocery,16,2321.12,1211.18,260,29.64,30395.67
2024-05-11,Sports,78,2669.51,3190.24,440,27.04,159833.13
2024-05-12,Furniture,100,2259.74,3231.49,77,19.55,185964.31
2024-05-13,Sports,20,2063.74,3718.94,100,9.42,41286.36
2024-05-14,Grocery,76,2842.24,831.52,491,7.63,206999.9
2024-05-15,Grocery,80,860.68,3635.96,310,24.58,57610.31
2024-05-16,Furniture,28,991.45,4563.36,310,26.39,29217.14
2024-05-17,Clothing,32,4322.75,1062.48,399,15.76,121614.58
2024-05-18,Clothing,12,4735.97,1340.21,401,7.33,56853.87
2024-05-19,Sports,96,1929.22,4862.7,57,3.39,183172.29
2024-05-20,Electronics,40,1426.65,1068.69,369,2.62,60411.85
2024-05-21,Sports,94,3255.6,4301.05,187,21.57,245365.27
2024-05-22,Furniture,12,2102.8,2562.93,87,12.6,25380.16
2024-05-23,Furniture,62,224.39,1386.71,160,27.16,14260.84
2024-05-24,Furniture,64,865.15,4379.6,417,22.19,51399.06
2024-05-25,Furniture,54,3608.26,2337.47,269,5.74,188068.24
2024-05-26,Furniture,32,3328.73,2671.12,386,18.41,92551.5
2024-05-27,Grocery,96,232.77,1924.32,272,13.07,23760.58
2024-05-28,Clothing,45,1187.66,3046.16,185,17.32,46957.18
2024-05-29,Furniture,68,1232.27,984.91,305,22.14,68965.08
2024-05-30,Electronics,31,3392.27,2077.19,409,24.19,87535.88
2024-05-31,Electronics,67,196.58,4853.18,458,25.31,18392.5
2024-06-01,Electronics,21,610.13,1439.04,378,7.62,18152.35
2024-06-02,Electronics,77,4019.59,3352.34,499,0.93,314073.39
2024-06-03,Grocery,37,974.87,1760.91,483,22.18,37045.65
2024-06-04,Electronics,88,3298.46,3912.67,500,3.19,291972.79
2024-06-05,Furniture,81,1267.1,828.19,98,9.45,95365.66
2024-06-06,Sports,96,587.26,4855.14,341,0.11,66282.31
2024-06-07,Electronics,33,1291.54,2378.19,431,20.45,41335.21
2024-06-08,Grocery,17,3639.11,1333.04,373,5.01,65076.39
2024-06-09,Grocery,50,4292.91,552.78,127,19.66,175674.35
2024-06-10,Electronics,39,4168.08,1014.84,154,29.75,117034.56
2024-06-11,Sports,10,2046.2,2694.91,218,2.18,23235.48
2024-06-12,Electronics,86,3373.62,1817.62,266,2.31,288864.35
2024-06-13,Grocery,73,1104.42,4178.64,427,10.21,80386.14
2024-06-14,Clothing,51,1536.42,2268.26,168,25.99,61425.4
2024-06-15,Furniture,29,4492.05,1393.83,239,6.47,126121.98
2024-06-16,Grocery,70,163.71,3162.3,304,10.81,16965.03
2024-06-17,Electronics,14,518.99,3592.53,419,2.06,15168.34
2024-06-18,Furniture,60,1118.64,1001.8,315,22.89,56972.17
2024-06-19,Electronics,34,230.01,1004.57,198,12.25,9335.15
2024-06-20,Electronics,9,989.03,376.02,213,22.78,9687.67
2024-06-21,Clothing,37,2956.9,3734.73,189,27.11,85850.39
2024-06-22,Furniture,69,2164.98,3386.26,396,6.98,148190.44
2024-06-23,Furniture,22,4474.09,2478.23,307,24.22,82383.26
2024-06-24,Clothing,100,4105.47,4252.02,423,1.77,412190.91
2024-06-25,Grocery,53,1774.91,4067.22,318,26.97,76609.27
2024-06-26,Electronics,15,1371.17,3009.7,230,19.52,23702.1
2024-06-27,Sports,89,1960.49,4367.7,209,26.23,134047.88
2024-06-28,Electronics,30,2992.45,1188.04,400,0.01,96144.65
2024-06-29,Electronics,67,1413.51,737.21,449,5.07,96649.73
2024-06-30,Grocery,93,3158.33,1494.8,337,11.69,266075.98
2024-07-01,Electronics,90,2106.12,474.02,337,11.39,171247.04
2024-07-02,Clothing,63,2805.03,2749.61,429,6.8,171108.42
2024-07-03,Clothing,31,2237.02,4695.71,275,11.45,68485.27
2024-07-04,Furniture,53,1542.88,388.85,60,3.87,80016.85
2024-07-05,Sports,81,4747.42,786.13,59,12.38,339394.61
2024-07-06,Electronics,37,3841.67,2370.56,320,24.07,114182.25
2024-07-07,Electronics,5,786.55,4682.6,322,14.37,10826.28
2024-07-08,Grocery,25,4355.49,1717.55,473,0.54,115765.76
2024-07-09,Clothing,59,2488.41,2634.73,451,12.64,136079.45
2024-07-10,Sports,10,4483.31,399.55,232,0.82,49314.13
2024-07-11,Furniture,96,4019.29,912.05,202,28.99,277312.69
2024-07-12,Clothing,85,2183.55,4935.82,364,3.82,186445.34
2024-07-13,Furniture,73,210.1,4832.57,383,21.23,20992.86
2024-07-14,Grocery,99,1416.52,223.71,173,29.18,101768.22
2024-07-15,Grocery,9,2754.01,4768.7,163,24.78,22844.06
2024-07-16,Electronics,7,3204.04,3267.78,327,20.98,24245.4
2024-07-17,Sports,57,1363.65,4366.01,463,25.18,67104.2
2024-07-18,Furniture,27,782.84,2382.75,262,29.45,19418.26
2024-07-19,Clothing,57,4191.16,2674.86,221,18.64,200193.35
2024-07-20,Grocery,41,4923.57,2546.46,337,16.78,173288.68
2024-07-21,Electronics,78,2675.88,3400.95,484,18.85,178359.55
2024-07-22,Electronics,78,941.23,870.33,223,15.98,64908.48
2024-07-23,Furniture,87,1434.31,343.87,162,19.05,103340.22
2024-07-24,Grocery,21,190.11,1678.06,425,13.5,10307.58
2024-07-25,Sports,89,4580.06,3582.47,454,6.55,387932.28
2024-07-26,Grocery,82,676.98,1168.9,171,3.61,56687.14
2024-07-27,Furniture,77,2924.93,3432.48,81,2.05,226609.54
2024-07-28,Furniture,5,1442.87,4855.58,271,7.9,12224.12
2024-07-29,Grocery,55,2815.47,650.72,168,1.38,155192.88
2024-07-30,Furniture,49,3291.96,3428.49,88,17.02,138773.78
2024-07-31,Grocery,81,4165.73,2330.0,317,8.51,314678.96
2024-08-01,Clothing,8,1111.46,4367.08,282,24.74,14257.51
2024-08-02,Grocery,66,153.88,1050.32,480,2.23,14154.19
2024-08-03,Grocery,69,770.74,3524.6,67,6.79,53792.0
2024-08-04,Furniture,36,4510.09,4222.95,198,21.91,131782.13
2024-08-05,Furniture,38,4382.06,4734.15,446,17.96,146060.79
2024-08-06,Electronics,96,3027.32,3479.59,198,1.93,290143.94
2024-08-07,Electronics,99,3042.53,2586.44,175,26.32,228379.36
2024-08-08,Clothing,76,3358.68,3165.67,441,26.32,196446.56
2024-08-09,Electronics,43,959.32,4370.74,351,9.91,44758.78
2024-08-10,Grocery,30,4580.62,2938.93,409,10.21,129137.61
2024-08-11,Furniture,38,2151.98,345.86,287,29.67,61354.36
2024-08-12,Electronics,58,1977.38,4668.55,184,18.79,99904.23
2024-08-13,Electronics,7,2642.7,3509.73,200,15.94,20677.41
2024-08-14,Clothing,54,330.13,3447.26,285,25.14,19017.46
2024-08-15,Clothing,16,914.79,1235.24,273,8.56,17075.35
2024-08-16,Grocery,69,3716.36,3362.65,252,12.88,229650.07
2024-08-17,Furniture,58,505.71,2090.55,305,8.03,33067.71
2024-08-18,Clothing,9,3055.45,3325.92,135,23.67,26631.97
2024-08-19,Electronics,98,1302.21,711.65,199,17.2,107628.85
2024-08-20,Furniture,98,2007.55,3357.66,284,19.76,164484.2
2024-08-21,Furniture,61,1514.6,4997.19,394,7.57,94000.68
2024-08-22,Electronics,21,1842.8,431.42,71,6.61,37245.71
2024-08-23,Clothing,51,3623.32,4890.44,397,14.65,166795.86
2024-08-24,Electronics,27,1555.9,2153.16,334,22.13,38850.83
2024-08-25,Furniture,83,2875.38,4379.62,318,15.76,208892.73
2024-08-26,Sports,89,2432.65,3955.45,307,0.98,220174.98
2024-08-27,Sports,18,3351.99,2921.68,78,26.06,47135.84
2024-08-28,Grocery,70,4690.47,3744.56,262,1.94,329588.76
2024-08-29,Electronics,79,3689.6,4416.87,485,28.67,217044.47
2024-08-30,Electronics,55,1153.21,2139.87,332,0.75,68952.76
2024-08-31,Grocery,42,252.8,1769.76,99,20.83,12064.43
2024-09-01,Grocery,68,1385.09,3404.45,144,2.47,96774.73
2024-09-02,Grocery,42,3015.88,4077.66,456,27.32,101342.2
2024-09-03,Furniture,54,351.99,3858.97,137,13.93,21985.47
2024-09-04,Electronics,86,2532.19,4029.51,93,4.13,210997.45
2024-09-05,Furniture,34,3024.53,2290.8,327,10.22,97591.07
2024-09-06,Grocery,83,1737.8,4125.6,220,4.94,143521.16
2024-09-07,Electronics,95,3877.47,777.0,470,5.12,357148.88
2024-09-08,Furniture,55,622.33,2813.55,238,28.44,29666.6
2024-09-09,Furniture,67,468.18,227.64,402,13.36,31338.68
2024-09-10,Grocery,56,3668.12,1758.01,233,23.66,160197.92
2024-09-11,Electronics,42,2527.91,1959.02,52,19.19,88872.85
2024-09-12,Grocery,92,3473.17,2101.63,240,20.29,259042.2
2024-09-13,Electronics,83,2230.65,3538.24,167,3.95,182658.16
2024-09-14,Sports,34,1307.37,2065.08,68,7.03,44408.8
2024-09-15,Clothing,55,4113.6,2353.73,72,23.6,172698.93
2024-09-16,Clothing,85,4017.14,1340.21,462,29.12,250641.19
2024-09-17,Clothing,9,3504.01,1991.61,79,7.88,30861.26
2024-09-18,Grocery,33,1433.51,1290.89,344,8.15,48853.05
2024-09-19,Sports,8,2992.13,551.34,157,14.19,21160.75
2024-09-20,Electronics,14,1868.77,3096.55,416,29.52,25486.23
2024-09-21,Furniture,60,548.75,3407.42,330,8.07,38198.58
2024-09-22,Electronics,21,4594.84,3173.55,177,12.21,87456.68
2024-09-23,Furniture,78,770.41,2424.77,278,26.74,50425.4
2024-09-24,Electronics,21,4756.16,2022.97,160,0.09,103054.15
2024-09-25,Sports,88,2285.43,4344.0,185,1.19,204906.9
2024-09-26,Furniture,92,1007.15,2691.59,411,18.12,83611.0
2024-09-27,Grocery,73,2755.31,2500.07,235,27.22,151649.44
2024-09-28,Electronics,38,4377.43,323.08,193,7.17,156125.11
2024-09-29,Electronics,10,3687.9,1837.99,121,14.09,34240.59
2024-09-30,Furniture,57,4052.15,2024.94,178,13.51,202062.55
2024-10-01,Grocery,70,3328.04,2114.35,413,14.19,207044.66
2024-10-02,Grocery,81,3492.16,2984.83,310,18.68,237835.7
2024-10-03,Sports,47,4261.06,2761.29,52,14.09,173060.39
2024-10-04,Grocery,79,1323.37,3117.94,498,13.42,98224.83
2024-10-05,Grocery,27,2498.18,3871.44,437,14.23,66011.98
2024-10-06,Grocery,59,1183.93,4102.33,153,17.73,62758.34
2024-10-07,Clothing,84,4939.57,3646.99,273,16.11,355152.41
2024-10-08,Sports,99,4725.89,4786.51,369,25.62,356101.59
2024-10-09,Electronics,79,293.19,287.52,411,1.48,27665.27
2024-10-10,Furniture,20,3557.32,1139.73,403,25.0,60210.71
2024-10-11,Electronics,12,4633.72,236.3,59,25.32,43084.58
2024-10-12,Sports,8,984.82,3307.88,454,8.55,15838.23
2024-10-13,Furniture,8,2882.93,4510.55,433,13.89,28776.88
2024-10-14,Sports,60,4585.89,1368.72,351,13.16,245233.34
2024-10-15,Grocery,29,266.34,4649.77,280,6.56,13640.68
2024-10-16,Furniture,71,3517.36,489.28,268,11.9,222829.12
2024-10-17,Grocery,100,1557.01,4685.29,460,1.33,163644.51
2024-10-18,Electronics,71,4629.54,1887.79,115,8.33,302582.05
2024-10-19,Electronics,31,4858.19,686.82,474,24.5,120035.57
2024-10-20,Furniture,97,4726.91,2532.18,161,8.54,422994.68
2024-10-21,Furniture,36,2423.65,1432.53,62,24.55,66315.45
2024-10-22,Sports,54,4324.01,1567.39,442,15.95,201880.49
2024-10-23,Sports,65,4238.29,1674.99,469,26.4,209618.81
2024-10-24,Grocery,55,1663.59,4054.52,135,17.24,81620.87
2024-10-25,Furniture,23,4161.69,2787.97,283,0.89,99840.39
2024-10-26,Electronics,25,281.34,1694.28,139,20.26,9845.32
2024-10-27,Sports,9,3021.72,3129.6,363,1.35,33751.2
2024-10-28,Sports,86,1227.04,3637.52,103,13.52,96714.8
2024-10-29,Electronics,96,690.78,1508.6,61,27.88,49160.68
2024-10-30,Sports,46,477.07,2185.04,258,4.96,25651.96
2024-10-31,Grocery,65,3511.82,785.05,63,11.7,203313.43
2024-11-01,Furniture,26,1765.39,1069.52,170,21.9,38564.11
2024-11-02,Electronics,25,3651.36,3469.37,467,26.47,76453.65
2024-11-03,Furniture,74,420.25,1070.9,486,20.13,29319.53
2024-11-04,Sports,5,1644.92,2720.78,426,7.75,17298.22
2024-11-05,Sports,9,2743.51,3603.42,69,20.24,24262.52
2024-11-06,Electronics,16,3974.54,713.01,124,8.9,59817.77
2024-11-07,Grocery,94,1661.89,2923.1,449,21.55,129726.91
2024-11-08,Clothing,50,3166.87,1431.5,292,28.62,116808.37
2024-11-09,Electronics,38,4441.29,4822.05,272,21.64,140014.66
2024-11-10,Clothing,53,3117.73,2521.02,119,25.89,126898.93
2024-11-11,Clothing,82,1241.5,4068.76,361,0.06,109166.4
2024-11-12,Grocery,94,219.56,2841.09,260,21.53,22695.0
2024-11-13,Clothing,49,4363.48,408.38,150,24.89,161812.53
2024-11-14,Clothing,31,204.22,3239.13,235,1.22,10581.08
2024-11-15,Grocery,77,4386.04,4766.74,181,26.15,257208.7
2024-11-16,Clothing,30,2691.79,3087.74,160,7.7,79516.97
2024-11-17,Clothing,51,4701.43,4132.11,430,19.96,201776.79
2024-11-18,Clothing,90,4014.04,4444.19,181,24.01,279397.62
2024-11-19,Electronics,60,4989.88,1294.78,69,19.88,240813.81
2024-11-20,Electronics,98,1818.49,1217.82,443,2.77,179207.19
2024-11-21,Electronics,67,3859.22,3132.71,73,17.89,214868.08
2024-11-22,Grocery,52,2069.46,2172.94,276,16.49,95622.43
2024-11-23,Sports,65,2451.39,4231.33,203,27.01,121372.46
2024-11-24,Clothing,85,3174.78,4520.11,342,12.13,243671.15
2024-11-25,Clothing,30,4381.02,1896.42,279,9.63,123780.98
2024-11-26,Grocery,40,4922.01,1336.98,359,22.5,156669.91
2024-11-27,Clothing,5,3864.54,3946.52,408,12.38,23184.3
2024-11-28,Electronics,12,2147.06,1519.07,454,19.38,27568.03
2024-11-29,Sports,56,2164.65,4148.55,251,19.39,102297.38
2024-11-30,Furniture,83,3714.15,2233.94,87,26.64,229756.57
2024-12-01,Clothing,51,1270.01,3404.24,479,17.96,60213.78
2024-12-02,Electronics,60,641.32,658.57,309,15.06,34678.41
2024-12-03,Furniture,90,1837.65,3194.52,237,4.17,163597.62
2024-12-04,Sports,18,1507.47,2368.48,106,3.47,29504.27
2024-12-05,Furniture,94,1551.91,3015.72,478,4.63,147765.37
2024-12-06,Electronics,32,1244.68,1006.47,69,5.16,39579.74
2024-12-07,Furniture,91,306.26,3736.99,322,19.14,28329.69
2024-12-08,Grocery,82,187.58,4341.43,168,22.23,18164.44
2024-12-09,Furniture,92,4939.84,1240.35,120,15.9,385597.72
2024-12-10,Clothing,6,2196.09,659.43,53,24.87,9857.32
2024-12-11,Clothing,30,1983.2,313.47,270,29.74,45111.66
2024-12-12,Grocery,18,3430.27,3281.46,63,24.6,49662.35
2024-12-13,Electronics,63,1169.44,3114.05,52,20.85,61649.16
2024-12-14,Clothing,60,4754.81,2824.15,265,15.97,244962.41
2024-12-15,Sports,11,3953.09,1313.35,278,13.47,41945.5
2024-12-16,Clothing,7,538.11,2076.35,385,2.53,10594.37
2024-12-17,Clothing,27,2146.15,3053.49,235,11.98,55153.05
2024-12-18,Electronics,22,4407.68,2584.48,104,27.3,74549.39
2024-12-19,Furniture,42,4729.19,4941.37,437,24.24,160817.27
2024-12-20,Clothing,19,2390.27,854.91,425,6.48,49890.29
2024-12-21,Grocery,68,3105.72,3536.69,303,14.0,185944.49
2024-12-22,Furniture,93,918.47,2140.73,73,24.5,66896.05
2024-12-23,Sports,32,4956.73,2255.36,211,2.02,157782.52
2024-12-24,Electronics,78,1235.19,3644.47,207,11.62,88114.06
2024-12-25,Sports,43,4719.39,3523.69,131,25.56,155598.94
2024-12-26,Furniture,61,3283.27,4958.03,452,12.12,184996.87
2024-12-27,Furniture,21,3077.91,816.29,208,2.33,66578.97
2024-12-28,Furniture,90,2612.17,699.73,237,16.28,200711.7
2024-12-29,Sports,94,1230.28,3676.83,109,25.85,91249.11
2024-12-30,Furniture,48,964.99,2976.26,452,17.71,45975.26
2024-12-31,Sports,29,1180.38,1515.97,354,6.79,40290.87
2025-01-01,Furniture,21,1013.55,581.21,368,11.53,24017.82
2025-01-02,Grocery,17,3919.96,611.16,415,13.5,64954.42
2025-01-03,Furniture,88,1815.61,4492.12,260,17.38,136385.87
2025-01-04,Sports,29,383.43,1120.96,455,22.78,16292.96
2025-01-05,Clothing,72,4848.6,1752.18,201,2.97,342363.94
2025-01-06,Furniture,14,4430.55,1287.95,158,26.69,46450.52
2025-01-07,Clothing,71,4645.99,1903.98,125,0.37,332088.52
2025-01-08,Grocery,22,4975.05,533.23,79,11.1,98373.66
2025-01-09,Electronics,90,952.09,2691.49,363,0.82,92074.7
2025-01-10,Grocery,38,2041.59,524.54,166,11.79,71856.4
2025-01-11,Furniture,12,3815.37,4041.71,464,15.77,45876.45
2025-01-12,Clothing,44,3510.5,1321.82,405,15.35,137684.46
2025-01-13,Clothing,87,854.09,2792.06,241,4.97,75744.96
2025-01-14,Sports,46,4097.58,4424.38,68,19.37,157686.77
2025-01-15,Clothing,45,1199.76,3324.21,481,1.34,61491.96
2025-01-16,Sports,10,1196.71,2758.2,222,22.86,13631.57
2025-01-17,Electronics,56,2731.17,1756.8,277,28.4,114265.49
2025-01-18,Furniture,30,3005.41,1798.41,399,10.19,87303.35
2025-01-19,Sports,68,2942.42,3413.54,232,15.52,173883.48
2025-01-20,Electronics,63,548.29,4971.87,162,11.37,36040.01
2025-01-21,Clothing,60,4399.56,3376.83,232,0.2,267704.24
2025-01-22,Clothing,63,1401.44,2877.36,195,11.58,82273.9
2025-01-23,Electronics,74,734.62,3707.12,368,23.75,49508.94
2025-01-24,Clothing,37,4454.87,2432.99,165,17.88,139147.59
2025-01-25,Electronics,57,4782.69,488.68,162,3.04,267669.89
2025-01-26,Sports,26,4324.43,2899.02,300,25.41,89599.19
2025-01-27,Sports,25,4066.63,4796.6,300,15.93,91476.16
2025-01-28,Electronics,74,3310.69,1041.45,352,25.25,188785.25
2025-01-29,Sports,74,2799.2,3512.02,362,17.41,177557.58
2025-01-30,Sports,8,526.24,1164.48,167,16.79,6205.29
2025-01-31,Sports,98,2101.42,2771.97,350,3.16,207086.63
2025-02-01,Grocery,79,1926.17,664.05,210,5.02,146418.99
2025-02-02,Furniture,66,1372.79,2361.78,450,29.16,71638.14
2025-02-03,Clothing,66,3644.76,3829.58,247,6.85,230063.35
2025-02-04,Grocery,98,2529.79,1868.34,309,29.32,181133.04
2025-02-05,Sports,99,497.13,3391.58,197,15.96,47293.43
2025-02-06,Electronics,28,1178.9,4018.16,289,4.07,38612.09
